Name,Year,Location,Coordinates
"45 Minutes from Broadway","1920","Del Monte, California, USA","(36.6007933,-121.8691196)"
"A 111-es","1920","Budapest, Hungary","(47.4979937,19.0403594)"
"A Dark Lantern","1920","(studio)","(52.2326368,21.0067376)"
"A Double-Dyed Deceiver","1920","Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA","(35.133041,-117.996753)"
"A Fool and His Money","1920","Thousand Islands, St. Lawrence River, New York, USA","(40.608443,-73.732733)"
"A Master Stroke","1920","(estates and country club)","(38.8185659,-76.6532577)"
"A Philistine in Bohemia","1920","Union Square, Manhattan, New York City, New York, USA","(40.7359091,-73.9901626)"
"A Philistine in Bohemia","1920","Washington Square, Manhattan, New York City, New York, USA","(40.796089,-73.963349)"
"A Woman in Grey","1920","Wilkes-Barre, Pennsylvania, USA","(41.2464824,-75.8817316)"
"A tisztesség nevében","1920","Szentendre, Hungary","(47.6677606,19.0760467)"
"A tisztesség nevében","1920","Budapest, Margitsziget, Hungary","(47.538047,19.0491235)"
"Abend - Nacht - Morgen","1920","Lixie-Atelier, Weißensee, Berlin, Germany","(52.55632,13.46649)"
"Akcie P.Z.H.","1920","Prague, Czech Republic","(50.0596288,14.4464593)"
"An Arabian Knight","1920","Brand Library - 1601 West moutain Street, Glendale, California, USA","(36.09348,-119.049812)"
"An Eastern Westerner","1920","Hal Roach Studios - 8822 Washington Blvd., Culver City, California, USA","(34.027469,-118.387467)"
"Angelo, das Mysterium des Schlosses Drachenegg","1920","Berlin, Germany","(52.5170365,13.3888599)"
"Anna Boleyn","1920","Liepnitzsee, Brandenburg, Germany","(52.7486478,13.5149749)"
"Anna Boleyn","1920","Ufa-Atelier, Berlin-Tempelhof, Berlin, Germany","(52.46667,13.4)"
"Anna Boleyn","1920","Ufa-Freigelände, Tempelhof, Berlin, Germany","(52.46667,13.4)"
"April Folly","1920","(studio)","(52.2326368,21.0067376)"
"Auf den Trümmern des Paradieses","1920","Helfenberger Grund, Saxony, Germany","(51.03137,13.85378)"
"Auf den Trümmern des Paradieses","1920","Kökritzscher Steinbruch bei Neundorf, Sächsische Schweiz, Saxony, Germany","(50.9,14.28333)"
"Babs","1920","Savannah, Georgia, USA","(32.0809263,-81.0911768)"
"Bachimba","1920","Mexico","(23.6585116,-102.0077097)"
"Before the White Man Came","1920","Big Horn Mountains, Montana, USA","(46.542723,-111.943411)"
"Before the White Man Came","1920","Big Horn Mountains, Wyoming, USA","(41.277609,-105.586534)"
"Bijna een dubbele moord in Lutjebroek","1920","Bussum, Noord-Holland, Netherlands","(52.2773656,5.1630646)"
"Billy v Praze","1920","Prague, Czech Republic","(50.0596288,14.4464593)"
"Birthright","1920","Long Island estate, Glen Cove, Long Island, New York, USA","(40.799948,-73.95119)"
"Birthright","1920","Yonkers, New York, USA","(40.9312099,-73.8987469)"
"Birthright","1920","Pennsylvania Station - 7th Avenue & 32nd Street, Manhattan, New York City, New York, USA","(40.750992,-73.990623)"
"Black Is White","1920","Artcraft Studios, Fort Lee, New Jersey, USA","(40.547767,-74.418303)"
"Black Is White","1920","Fort Lee, New Jersey, USA","(40.8509333,-73.9701382)"
"Bodakungen","1920","Järvsö, Gävleborgs län, Sweden","(61.7158943,16.1693209)"
"Bodakungen","1920","Södermalm, Stockholm, Stockholms län, Sweden","(59.3123782,18.0697556)"
"Bomben","1920","Skandiaateljén, Långängen, Stocksund, Sweden","(59.38333,18.06667)"
"Bomben","1920","Sigtuna, Stockholms län, Sweden","(59.6165201,17.7236301)"
"Bomben","1920","Godset Claestorp, Katrineholm, Sweden","(58.99587,16.20721)"
"Bomben","1920","Vaxholm, Stockholms län, Sweden","(59.4012797,18.2594743)"
"Bomben","1920","Stockholm, Sweden","(59.3251172,18.0710935)"
"Bomben","1920","Jönköping-Gripenbergs järnväg, Jönköping/Vireda, Sweden","(57.78333,14.36667)"
"Bonnie May","1920","(studio)","(52.2326368,21.0067376)"
"Borgslægtens historie","1920","Iceland","(64.9841821,-18.1059013)"
"Botteresses liègeoises","1920","Liège, Wallonia, Belgium","(50.6451381,5.5734203)"
"Captain Swift","1920","(prologue depicting Australian outback)","location is undefined"
"Captain Swift","1920","(prologue depicting Australian outback)","(50.6451381,5.5734203)"
"Carolina Rediviva","1920","Bredgränd, Uppsala, Uppsala län, Sweden","(59.8568872,17.6397011)"
"Carolina Rediviva","1920","Geijersgården, Uppsala, Uppsala län, Sweden","(59.8558731,17.6308668)"
"Carolina Rediviva","1920","Uppsala, Uppsala län, Sweden","(59.8586126,17.6387436)"
"Carolina Rediviva","1920","Västgöta nation, Uppsala, Uppsala län, Sweden","(59.8567614,17.6385103)"
"Carolina Rediviva","1920","Västra Ågatan, Uppsala, Uppsala län, Sweden","(59.8566247,17.6391559)"
"Civilian Clothes","1920","Oriental Park & Hotel Trotcha, Havana, Cuba","(23.13302,-82.38304)"
"Civilian Clothes","1920","(battle scenes)","location is undefined"
"Civilian Clothes","1920","(battle scenes)","(23.13302,-82.38304)"
"Conferencia entre Villa y el general Martinez","1920","Mexico","(23.6585116,-102.0077097)"
"Cuando la patria lo mande","1920","Mexico City, Distrito Federal, Mexico","(19.2667063,-99.1269596)"
"Cupid the Cowpuncher","1920","Alabama Hills, Lone Pine, California, USA","(36.6013301,-118.0834804)"
"Cynthia of the Minute","1920","Cliffside Park, New Jersey, USA","(40.8214894,-73.9876388)"
"Cynthia of the Minute","1920","Jacksonville, Florida, USA","(30.3321838,-81.655651)"
"Cynthia of the Minute","1920","Miami, Florida, USA","(25.7741728,-80.19362)"
"Cynthia of the Minute","1920","Tampa, Florida, USA","(27.9477595,-82.458444)"
"Dangerous Love","1920","(studio)","(52.2326368,21.0067376)"
"Danzas de los indigenas de Teotihuacan y de las piramides","1920","Mexico","(23.6585116,-102.0077097)"
"Das Cabinet des Dr. Caligari","1920","(studio)","(52.2326368,21.0067376)"
"Das Chamäleon","1920","Vienna, Austria","(48.2083537,16.3725042)"
"Das Skelett des Herrn Markutius","1920","Garmisch-Partenkirchen, Bavaria, Germany","(47.4923741,11.0962815)"
"Das Wunder des Schneeschuhs","1920","Berner Oberland, Kanton Bern, Switzerland","(46.4878958,7.3229402)"
"Das Wunder des Schneeschuhs","1920","Feldberg im Schwarzwald, Baden-Württemberg, Germany","(47.87399,8.00371)"
"Das Wunder des Schneeschuhs","1920","Kreiskrankenhaus, Dachau, Bavaria, Germany","(48.26,11.43402)"
"Das einsame Wrack","1920","Schlesisches Tor, Kreuzberg, Berlin, Germany","(52.501468,13.4422239)"
"Das vierte Gebot","1920","Listo-Atelier, Vienna, Austria","(48.20849,16.37208)"
"Das wandernde Bild","1920","Königssee, Bavaria, Germany","(47.5551052,12.9765672)"
"De heldendaad van Peter Wells","1920","Haarlem, Noord-Holland, Netherlands","(52.3837058,4.6435597)"
"De heldendaad van Peter Wells","1920","London, England, UK","(51.5073219,-0.1276474)"
"Dead Men Tell No Tales","1920","Riverdale, Morris County, New York, USA","(40.70587,-74.013254)"
"Dead Men Tell No Tales","1920","Bar Harbor, Maine, USA","(44.3876378,-68.2043361)"
"Dead Men Tell No Tales","1920","(Rattray Hotel)","(56.594867,-3.3292991)"
"Death Valley Kid","1920","San Antonio, Texas, USA","(29.4246002,-98.4951405)"
"Dependencias de la secretaria de comunicaciones y obras públicas","1920","Mexico","(23.6585116,-102.0077097)"
"Der Golem, wie er in die Welt kam","1920","(studio)","(52.2326368,21.0067376)"
"Der Henker von Sankt Marien","1920","Bamberg, Bavaria, Germany","(49.8916044,10.8868478)"
"Der Henker von Sankt Marien","1920","May-Film-Gelände, Woltersdorf bei Erkner, Brandenburg, Germany","(52.42,13.75437)"
"Der Januskopf","1920","(studio)","(52.2326368,21.0067376)"
"Der Januskopf","1920","(studio)","(52.2326368,21.0067376)"
"Der Ochsenkrieg","1920","Bavaria Studios, Bavariafilmplatz 7, Geiselgasteig, Grünwald, Bavaria, Germany","(48.0643519,11.5547475)"
"Der Verächter des Todes","1920","Berlin, Germany","(52.5170365,13.3888599)"
"Der Verächter des Todes","1920","Dolomites, Trentino - Alto Adige, Italy","(46.6199846,12.345991)"
"Der Verächter des Todes","1920","(studio)","(52.2326368,21.0067376)"
"Der Verächter des Todes","1920","Venice, Veneto, Italy","(45.4371908,12.3345898)"
"Der ewige Mönch im Banne der Musik","1920","Fery-Film-Atelier, Hannover, Lower Saxony, Germany","(52.37052,9.73322)"
"Die Herrin der Welt 5. Teil - Ophir, die Stadt der Vergangenheit","1920","Woltersdorf, Brandenburg, Germany","(52.4501153,13.7552036)"
"Die Herrin der Welt 6. Teil - Die Frau mit den Millionarden","1920","Woltersdorf, Brandenburg, Germany","(52.4501153,13.7552036)"
"Die Schreckensnacht im Irrenhaus Ivoy","1920","Cserépy-Atelier, Berlin, Germany","(52.52437,13.41053)"
"Die Spinnen, 2. Teil - Das Brillantenschiff","1920","(studio)","(52.2326368,21.0067376)"
"Die Spinnen, 2. Teil - Das Brillantenschiff","1920","Tierpark Hagenbeck, Hamburg, Germany","(53.5966746,9.9382036)"
"Die Spinnen, 2. Teil - Das Brillantenschiff","1920","(studio)","(52.2326368,21.0067376)"
"Die Vermummten","1920","Bavaria-Film-Atelier, Schwabing, Munich, Bavaria, Germany","(48.16587,11.57891)"
"Dierenjacht in Belgisch Kongo","1920","Democratic Republic Of Congo","(-2.9814344,23.8222636)"
"Dla ciebie, Polsko","1920","Poland","(52.215933,19.134422)"
"Dollar for Dollar","1920","Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA","(35.127658,-117.99131)"
"Dollar for Dollar","1920","(studio)","(52.2326368,21.0067376)"
"Drogekunst broeders","1920","Antwerp, Flanders, Belgium","(51.2211097,4.3997081)"
"Dáma s malou nozkou","1920","Prague, Czech Republic","(50.0596288,14.4464593)"
"Earthbound","1920","Montecito, California, USA","(34.4365465,-119.6240011)"
"Easy to Get","1920","Loon Lake, Adirondack Mountains, New York, USA","(42.996517,-77.577866)"
"El Verdugo","1920","Bamberg, Bavaria, Germany","(49.8916044,10.8868478)"
